geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000133742.14,ENSG00000133742,CA1,mapped,0.393671068122382,0.393671068122382,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000206582.1,ENSG00000206582,Y_RNA,mapped,-0.356743209785947,0.356743209785947,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000159189.12,ENSG00000159189,C1QC,mapped,0.351141322983022,0.351141322983022,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000119508.18,ENSG00000119508,NR4A3,mapped,-0.3267527093628931,0.3267527093628931,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000211653.2,ENSG00000211653,IGLV1-40,mapped,-0.3102842419495397,0.3102842419495397,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000138356.14,ENSG00000138356,AOX1,mapped,-0.3032947598251097,0.3032947598251097,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000214200.2,ENSG00000214200,TPM3P2,mapped,0.279633057483858,0.279633057483858,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000201302.1,ENSG00000201302,SNORA65,mapped,-0.2793364794504319,0.2793364794504319,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000185736.16,ENSG00000185736,ADARB2,mapped,-0.2752683958550113,0.2752683958550113,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000130477.16,ENSG00000130477,UNC13A,mapped,0.2682043512405855,0.2682043512405855,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000136514.3,ENSG00000136514,RTP4,mapped,0.2550117759097876,0.2550117759097876,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000199480.1,ENSG00000199480,RNA5SP389,mapped,-0.2481170075002462,0.2481170075002462,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000173369.17,ENSG00000173369,C1QB,mapped,0.2435355774263903,0.2435355774263903,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000145321.13,ENSG00000145321,GC,mapped,-0.2428248662708076,0.2428248662708076,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000197705.10,ENSG00000197705,KLHL14,mapped,-0.2311147436258929,0.2311147436258929,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000223629.1,ENSG00000223629,DEFA8P,mapped,-0.2295340680202782,0.2295340680202782,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000276532.1,ENSG00000276532,Metazoa_SRP,mapped,-0.2245904802797491,0.2245904802797491,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000178031.18,ENSG00000178031,ADAMTSL1,mapped,0.2163688138248079,0.2163688138248079,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000118271.12,ENSG00000118271,TTR,mapped,-0.2149255368461252,0.2149255368461252,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000236564.1,ENSG00000236564,YWHAQP5,mapped,-0.212196067329481,0.212196067329481,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
